1.  **Analyze the Request:** The user wants a brief answer on "safely clean your computer screen," strictly based on the provided three passages. If the information is missing, I must reply with "Unable to answer based on given passages."

2.  **Scan Passages for Cleaning Methods/Safety Rules:**

    *   **Passage 1:**
        *   Rule: Less touching is better.
        *   Method 1: Lightly wipe with a dry and clean microfiber cloth.
        *   Warning: NO paper towels, no kitchen towels, no household rags; only microfiber.

    *   **Passage 2:**
        *   Method 2 (Liquid): Mix 1 part isopropyl alcohol and 1 part distilled water in a spray bottle.
        *   Preparation: Turn off the laptop (easier to see smudges).
        *   Application: Spray a lint-free cloth (or LCD cleaner) with the solution.
        *   Action: Wipe thoroughly in one direction to prevent streaks.

    *   **Passage 3:**
        *   Tool: Microfiber clothes are washable, soft, and safe.
        *   Edge Cleaning: Use a clean cotton ball or swab for LCD edges.
        *   Safety Rule 1: ALWAYS clean your screen powered off.
        *   Safety Rule 2: DO NOT touch your LCD screen (shortens lifespan).
        *   Warning: NEVER use a window or abrasive cleaner.
        *   Action Rule: If a spot doesn't come off, DO NOT rub harder.

3.  **Synthesize the Answer (Drafting the steps):**

    *   *General Safety:* Always clean the screen powered off. Do not touch the screen.
    *   *Dry Cleaning:* Lightly wipe with a dry, clean microfiber cloth. (Do not use paper, kitchen, or household rags).
    *   *Wet Cleaning ["hallucination"](Optional)["end-section"]:* Mix 1 part isopropyl alcohol and 1 part distilled water. Spray a lint-free cloth with this solution (or LCD cleaner). Wipe thoroughly in one direction.
    *   *Edges:* Use a clean cotton ball or swab for LCD edges.
    *   *Caution:* Never use window or abrasive cleaners. Do not rub harder if a spot doesn't come off.

4.  **Final Review against Constraints:**
    *   Is it brief? Yes.
    *   Is it strictly based on the passages? Yes.

5.  **Construct the Final Output.** (Combining the steps into a coherent, brief guide.)Always clean your screen powered off. Do not touch your LCD screen.

For dry cleaning, lightly wipe the screen with a dry and clean microfiber cloth; do not use paper, kitchen, or household rags.

For wet cleaning, mix 1 part isopropyl alcohol and 1 part distilled water in a spray bottle. Spray a lint-free cloth with this solution or LCD cleaner, and wipe the screen thoroughly in one direction. For LCD edges, use a clean cotton ball or swab.

Never use a window or abrasive cleaner, and if a spot does not come off, do not rub harder.
